name,layers,parameters,GFLOPs,epoch
YOLOv8s,225,11135987,28.6469632,276
YOLOv8s-AKConv,267,4026549,13.24672,560
YOLOv8s-shufflnetv2,235,6387883,16.493759999999998,370
YOLOv8s-shufflnetv2+C3Ghost,299,3667483,11.4969984,325
