                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7488,                0.76236,                 1.1524,                0.70541,                0.73853,                0.75459,                0.59151,                0.78564,                0.95976,                 1.1899,              0.0095191,              0.0095191,              0.0095191
                     36,                0.74013,                0.74303,                 1.1559,                0.72637,                0.78706,                0.80217,                0.63252,                0.74523,                0.79884,                 1.1524,               0.009505,               0.009505,               0.009505
                     37,                0.73873,                0.72678,                 1.1496,                  0.721,                0.81149,                0.81775,                0.64507,                0.75196,                 0.7661,                 1.1663,              0.0094909,              0.0094909,              0.0094909
                     38,                0.72094,                0.71614,                 1.1473,                0.68846,                0.78684,                0.78379,                0.61636,                0.76394,                 0.8224,                 1.1685,              0.0094767,              0.0094767,              0.0094767
                     39,                0.73309,                0.71349,                 1.1594,                 0.7088,                0.79078,                0.80804,                0.65041,                0.73084,                0.83965,                 1.1397,              0.0094626,              0.0094626,              0.0094626
                     40,                0.74093,                 0.7327,                 1.1565,                0.70408,                0.79168,                0.78644,                0.62061,                0.74483,                0.82488,                 1.1545,              0.0094484,              0.0094484,              0.0094484
                     41,                0.71737,                0.72588,                 1.1422,                0.72825,                0.78164,                0.81583,                0.64043,                0.72521,                0.75729,                 1.1434,              0.0094343,              0.0094343,              0.0094343
                     42,                0.72097,                0.70595,                 1.1289,                0.71671,                0.77457,                 0.8016,                0.63558,                0.74428,                0.80257,                 1.1594,              0.0094201,              0.0094201,              0.0094201
                     43,                0.73196,                0.71107,                 1.1463,                 0.6941,                0.79608,                0.80243,                0.64427,                0.72855,                0.78421,                 1.1354,               0.009406,               0.009406,               0.009406
                     44,                0.72142,                0.69831,                  1.132,                0.72293,                0.80673,                0.83522,                0.66136,                0.70993,                0.72541,                 1.1195,              0.0093919,              0.0093919,              0.0093919
                     45,                0.70332,                0.70193,                 1.1201,                0.71684,                0.73973,                0.76338,                0.59808,                0.77778,                0.88813,                 1.1829,              0.0093777,              0.0093777,              0.0093777
                     46,                 0.7108,                0.69536,                 1.1338,                0.71148,                0.79167,                0.81797,                0.64759,                0.70389,                0.78231,                 1.1187,              0.0093636,              0.0093636,              0.0093636
                     47,                0.71549,                0.69926,                 1.1291,                 0.7187,                0.79762,                0.80014,                0.64872,                0.72226,                0.77925,                 1.1331,              0.0093494,              0.0093494,              0.0093494
                     48,                0.70755,                0.68209,                 1.1352,                0.74295,                 0.7662,                0.81905,                0.63948,                0.74004,                0.79907,                 1.1462,              0.0093353,              0.0093353,              0.0093353
                     49,                0.69403,                0.68814,                  1.113,                0.70551,                0.80435,                0.80809,                0.64795,                0.71522,                0.77954,                 1.1266,              0.0093211,              0.0093211,              0.0093211
                     50,                0.70705,                0.69545,                 1.1272,                0.69085,                0.78986,                0.81277,                0.65502,                0.70485,                0.76196,                 1.1208,               0.009307,               0.009307,               0.009307
                     51,                0.68307,                0.66348,                 1.1068,                0.73136,                0.79077,                0.81455,                0.65439,                0.71331,                0.77766,                 1.1281,              0.0092929,              0.0092929,              0.0092929
                     52,                0.70252,                0.68526,                 1.1215,                0.68276,                0.74598,                0.78867,                 0.6466,                0.68973,                0.81137,                 1.0956,              0.0092787,              0.0092787,              0.0092787
                     53,                0.69926,                0.67539,                 1.1159,                0.75977,                0.76586,                0.81135,                0.63887,                0.71421,                0.78913,                 1.1207,              0.0092646,              0.0092646,              0.0092646
                     54,                0.68658,                0.67616,                  1.118,                0.75523,                0.78623,                0.82108,                0.66304,                0.70478,                0.74067,                 1.1178,              0.0092504,              0.0092504,              0.0092504
                     55,                0.68265,                 0.6681,                 1.1063,                0.71647,                0.84082,                0.84558,                0.68559,                0.69348,                0.69902,                  1.106,              0.0092363,              0.0092363,              0.0092363
                     56,                  0.685,                0.69512,                 1.1054,                0.75982,                0.76932,                0.82737,                0.66991,                 0.7036,                0.74233,                 1.1111,              0.0092221,              0.0092221,              0.0092221
                     57,                0.67753,                0.66556,                 1.1124,                0.76254,                0.76932,                0.82175,                0.66684,                 0.6976,                0.73435,                 1.1068,               0.009208,               0.009208,               0.009208
                     58,                0.67517,                0.65854,                 1.1039,                0.74842,                0.75269,                0.82187,                0.65098,                0.71112,                0.81429,                  1.119,              0.0091939,              0.0091939,              0.0091939
                     59,                0.68394,                0.66257,                 1.1096,                0.66323,                0.78442,                0.79179,                0.64353,                0.68949,                0.75457,                 1.1022,              0.0091797,              0.0091797,              0.0091797
                     60,                0.67407,                 0.6691,                 1.1044,                0.74524,                0.73551,                0.81314,                0.66059,                0.69192,                0.72487,                 1.1024,              0.0091656,              0.0091656,              0.0091656
                     61,                0.68519,                  0.663,                 1.0995,                0.65872,                0.77114,                0.77127,                0.62052,                0.70223,                0.81003,                 1.1071,              0.0091514,              0.0091514,              0.0091514
                     62,                0.67343,                0.65611,                 1.0919,                0.73158,                0.73007,                0.81859,                0.65865,                0.68335,                0.75234,                 1.0889,              0.0091373,              0.0091373,              0.0091373
                     63,                0.67161,                 0.6572,                 1.1005,                0.72763,                0.78684,                0.82157,                 0.6625,                0.68861,                0.81395,                 1.1094,              0.0091231,              0.0091231,              0.0091231
                     64,                0.69598,                0.65987,                   1.11,                0.77009,                0.76255,                0.82712,                 0.6786,                0.67507,                0.72172,                 1.0799,               0.009109,               0.009109,               0.009109
                     65,                0.67887,                0.64826,                 1.0948,                0.76488,                0.77988,                0.83754,                0.67963,                0.67604,                0.74353,                 1.0775,              0.0090949,              0.0090949,              0.0090949
